tick,source,destination,length
4406,S3,S4,2
4408,S3,S2,1
4411,S1,S2,3
4412,S3,S2,1
4414,S3,S2,2
4419,S3,S2,2
4421,S1,S2,3
4423,S3,S4,4
4425,S2,S3,2
4427,S1,S3,2
4434,S1,S2,4
4435,S2,S3,3
4440,S3,S2,2
4442,S3,S4,4
4450,S2,S3,1
4454,S2,S3,3
4463,S3,S4,1
4470,S3,S2,2
4478,S3,S2,1
4482,S2,S4,4
4482,S3,S4,3
4486,S1,S4,2
4490,S3,S4,3
4493,S3,S4,3
4497,S2,S3,2
4500,S2,S3,2
4505,S3,S4,1
4509,S1,S2,2
4509,S3,S2,4
4513,S1,S3,1
4513,S2,S3,3
4516,S2,S3,3
4517,S3,S2,2
4520,S1,S2,4
4521,S3,S4,1
4522,S3,S2,4
4525,S2,S3,1
4528,S3,S2,4
4529,S1,S2,2
4531,S1,S2,3
4533,S2,S3,1
4534,S1,S2,2
4536,S3,S2,1
4543,S2,S3,3
4551,S1,S2,4
4557,S2,S3,4
4573,S2,S3,2
4576,S3,S4,1
4580,S2,S3,1
4580,S3,S4,1
4581,S2,S3,4
4582,S3,S2,4
4585,S2,S3,1
4592,S2,S3,1
4595,S1,S2,4
4606,S2,S3,1
4611,S2,S3,1
4614,S3,S4,2
4616,S3,S4,4
4620,S2,S3,3
4622,S1,S2,4
4629,S3,S4,2
4630,S1,S2,3
4630,S2,S3,2
4636,S1,S2,1
4636,S3,S4,1
4640,S3,S2,2
4644,S3,S4,1
4650,S2,S3,1
4650,S3,S4,3
4655,S3,S4,4
4660,S1,S2,2
4663,S3,S4,2
4667,S2,S3,1
4667,S3,S4,3
4670,S3,S2,4
4679,S1,S2,4
4682,S3,S2,3
4686,S3,S2,2
4687,S2,S3,3
4690,S2,S3,1
4692,S1,S2,2
4696,S1,S2,4
4715,S1,S2,4
4724,S3,S4,1
4729,S1,S4,2
4729,S3,S4,1
4731,S3,S4,2
4736,S1,S2,4
4738,S3,S4,4
4744,S2,S3,3
4749,S3,S4,4
4756,S3,S4,1
4757,S2,S3,4
4758,S1,S2,1
4766,S3,S2,3
4777,S2,S3,3
4779,S3,S4,1
4780,S3,S2,3
4788,S1,S2,1
4795,S1,S2,3
4800,S1,S2,3
4809,S1,S2,3
4809,S3,S4,4
4812,S1,S2,4
4821,S3,S2,1
4825,S1,S3,4
4825,S2,S4,1
4825,S3,S2,3
4834,S2,S3,2
4840,S1,S2,4
4842,S3,S4,4
4846,S3,S4,3
4849,S3,S2,2
4853,S3,S2,2
4871,S3,S4,3
4874,S3,S4,1
4877,S2,S3,1
4886,S2,S3,2
4886,S3,S2,4
4894,S3,S4,3
4898,S2,S4,2
4898,S3,S2,2
4901,S2,S4,2
4901,S3,S4,1
4909,S3,S2,4
4913,S3,S2,1
4914,S1,S2,4
4914,S2,S4,1
4914,S3,S4,3
4917,S3,S2,4
4929,S1,S4,2
4929,S3,S4,4
4935,S3,S2,1
4940,S1,S4,4
4945,S1,S2,3
4945,S3,S4,1
4949,S3,S2,1
4951,S2,S3,2
4953,S2,S3,4
4957,S3,S2,2
4962,S3,S2,1
4963,S1,S2,1
4966,S1,S3,2
4967,S3,S2,2
4973,S1,S2,1
4976,S3,S2,1
4980,S3,S2,3
4985,S1,S2,3
4987,S3,S2,4
4994,S2,S3,1
4997,S2,S3,2
5002,S1,S3,3
5003,S3,S4,4
5010,S2,S3,4
5010,S3,S2,4
5014,S3,S4,3
5019,S3,S4,2
5021,S1,S2,1
5024,S2,S3,2
5040,S3,S4,4
5043,S2,S3,2
5045,S3,S2,4
5058,S3,S2,3
5059,S1,S2,4
5061,S3,S2,1
5064,S3,S2,2
5066,S2,S3,1
5068,S3,S4,4
5073,S1,S3,3
5073,S2,S3,1
5073,S3,S2,1
5075,S2,S3,1
5090,S2,S3,1
5101,S1,S2,2
5111,S3,S4,3
5120,S2,S3,3
5121,S1,S2,4
5121,S3,S4,3
5136,S2,S3,4
5145,S3,S2,2
5155,S3,S2,4
5165,S1,S2,4
5166,S3,S2,2
5169,S1,S2,2
5171,S2,S4,1
5171,S3,S2,1
5179,S1,S4,1
5179,S3,S4,4
5183,S3,S4,1
5184,S2,S3,2
5187,S3,S2,1
5190,S3,S2,3
5197,S3,S4,3
5201,S3,S2,3
5204,S2,S3,3
5206,S3,S2,2
5208,S2,S3,1
5208,S3,S2,1
5211,S2,S3,2
5212,S1,S4,2
5212,S3,S4,2
5218,S3,S2,2
5221,S2,S3,3
5222,S3,S4,4
5226,S2,S4,4
5226,S3,S2,4
5233,S3,S4,1
5240,S1,S3,4
5244,S3,S4,1
5246,S2,S3,1
5248,S1,S2,4
5250,S2,S3,4
5251,S3,S4,3
5253,S1,S2,1
5254,S1,S3,2
5254,S3,S4,1
5265,S1,S2,4
5274,S2,S3,4
5283,S1,S2,2
5284,S2,S4,4
5284,S3,S4,1
5294,S1,S2,3
5300,S3,S2,3
5305,S3,S2,1
5307,S2,S3,3
5309,S3,S2,4
5310,S1,S2,3
5313,S1,S3,1
5313,S3,S2,4
5315,S2,S3,2
5318,S2,S3,1
5318,S3,S2,1
5323,S3,S2,1
5324,S1,S2,3
5329,S2,S3,1
5330,S3,S4,2
5331,S1,S3,1
5335,S3,S4,3
5338,S1,S4,4
5345,S2,S3,3
5346,S3,S2,3
5350,S1,S3,1
5354,S2,S3,1
5354,S3,S2,3
5363,S1,S2,3
5363,S3,S2,1
5364,S2,S3,4
5373,S3,S4,2
5375,S1,S2,1
5377,S3,S4,1
5384,S3,S4,1
5392,S3,S4,2
5396,S3,S2,2
5398,S3,S2,2
5402,S2,S3,3
5407,S3,S4,1
5410,S2,S3,4
5410,S3,S2,4
5414,S1,S2,4
5414,S2,S3,3
5422,S2,S3,4
5424,S3,S4,1
5429,S1,S2,1
5430,S2,S3,1
5431,S3,S2,2
5435,S1,S2,3
5437,S3,S2,1
5440,S1,S2,3
5441,S3,S2,3
5444,S3,S2,4
5449,S1,S3,1
5449,S2,S3,1
5449,S3,S2,2
5450,S2,S3,1
5451,S3,S4,4
5453,S1,S2,4
5454,S2,S3,2
5457,S2,S3,2
5461,S2,S3,4
5466,S1,S2,3
5468,S2,S4,3
5468,S3,S4,2
5471,S3,S4,4
5479,S1,S2,4
5479,S2,S4,3
5479,S3,S4,3
5483,S2,S3,2
5488,S3,S4,2
5492,S1,S2,1
5501,S2,S3,2
5502,S3,S4,1
5508,S2,S3,4
5508,S3,S2,1
5510,S3,S2,3
5514,S1,S2,1
5524,S3,S2,3
5527,S3,S4,4
5531,S3,S4,3
5541,S3,S2,3
5544,S2,S3,4
5545,S3,S2,2
5546,S1,S2,4
5552,S1,S4,4
5552,S2,S3,4
5552,S3,S2,4
5559,S1,S2,3
5563,S3,S4,3
5566,S2,S3,3
5566,S3,S4,1
5575,S3,S2,1
5576,S1,S2,4
5578,S2,S3,1
5579,S3,S2,1
5586,S3,S2,1
5597,S2,S3,4
5601,S1,S4,1
5601,S2,S3,2
5602,S1,S2,4
5602,S3,S2,2
5604,S3,S4,1
5609,S3,S4,1
5611,S3,S4,3
5614,S2,S3,4
5614,S3,S4,4
5623,S3,S2,1
5624,S1,S2,3
5626,S2,S3,3
5627,S3,S2,4
5633,S3,S4,2
5634,S2,S3,4
5636,S3,S4,2
5638,S1,S4,1
5638,S2,S3,4
5642,S3,S4,4
5648,S3,S4,1
5650,S3,S2,3
5663,S1,S2,3
5668,S3,S2,1
5676,S2,S3,4
5677,S3,S2,2
5687,S1,S2,2
5689,S3,S4,3
5692,S1,S2,4
5694,S3,S2,1
5695,S3,S2,4
5702,S1,S2,3
5703,S3,S4,2
5708,S3,S4,2
5709,S2,S3,1
5710,S3,S4,1
5714,S3,S4,2
5716,S1,S2,1
5717,S2,S4,3
5717,S3,S2,2
5722,S3,S4,2
5723,S2,S3,3
5727,S1,S2,4
5737,S3,S4,3
5745,S2,S3,2
5746,S3,S2,1
5747,S2,S3,2
5752,S1,S2,3
5757,S3,S2,2
5760,S1,S2,2
5774,S2,S3,3
5774,S3,S2,4
5783,S1,S2,1
5783,S3,S2,3
5794,S1,S2,4
5794,S2,S3,4
5796,S3,S4,4
5806,S2,S4,1
5806,S3,S2,2
5808,S3,S4,4
5824,S3,S2,3
5826,S1,S2,3
5830,S1,S2,2
5833,S3,S4,1
5834,S3,S4,1
5842,S3,S4,1
5851,S1,S2,4
5855,S3,S2,4
5864,S3,S4,1
5865,S3,S2,1
5871,S1,S2,4
5871,S2,S3,1
5875,S2,S3,4
5877,S3,S2,3
5880,S3,S4,3
5884,S2,S4,4
5884,S3,S4,3
5887,S3,S2,4
5893,S3,S2,4
5896,S2,S3,2
5897,S3,S2,4
5900,S1,S3,4
5901,S3,S2,4
5905,S1,S2,3
5906,S3,S2,1
5912,S2,S3,3
5916,S1,S2,1
5919,S3,S2,2
5931,S3,S2,3
5932,S1,S4,2
5932,S2,S3,1
5936,S1,S4,3
5949,S3,S2,3
5952,S3,S4,1
5975,S2,S3,4
5979,S2,S3,1
5980,S1,S2,2
5982,S2,S4,4
5982,S3,S4,2
5983,S1,S2,3
5986,S3,S4,3
5993,S3,S2,3
5996,S3,S2,3
5997,S1,S2,2
5998,S2,S3,3
6004,S3,S2,1
6006,S3,S4,3
6013,S1,S2,3
6021,S2,S3,4
6024,S3,S2,4
6027,S1,S4,2
6027,S2,S3,2
6028,S3,S2,2
6031,S2,S4,1
6031,S3,S4,2
6034,S3,S2,1
6035,S3,S4,2
6045,S2,S3,3
6047,S3,S4,2
6053,S1,S2,1
6054,S1,S2,1
6054,S3,S4,4
6055,S2,S3,2
6070,S2,S3,4
6071,S3,S2,1
6074,S3,S4,3
6083,S1,S2,3
6089,S1,S2,4
6089,S2,S3,1
6091,S2,S3,3
6097,S1,S3,3
6103,S3,S4,1
6104,S3,S2,3
6109,S1,S2,4
6115,S3,S2,2
6119,S1,S3,1
6119,S3,S2,1
6124,S2,S3,4
6127,S3,S2,2
6133,S1,S2,4
6133,S3,S4,1
6135,S2,S3,1
6141,S2,S3,1
6141,S3,S4,4
6146,S2,S3,1
6147,S3,S4,4
6152,S1,S3,4
6152,S3,S2,4
6154,S2,S3,4
6159,S3,S4,2
6160,S2,S3,3
6162,S1,S2,2
6173,S3,S2,1
6178,S1,S2,1
6179,S2,S3,2
6183,S1,S2,2
6186,S1,S2,1
6188,S1,S2,4
6188,S2,S3,3
6192,S1,S4,1
6197,S1,S4,4
6201,S3,S2,1
6209,S3,S4,3
6212,S3,S4,2
6213,S1,S2,4
6214,S2,S3,1
6215,S2,S3,1
6219,S2,S3,1
6221,S2,S3,1
6221,S3,S2,4
6222,S1,S2,4
6223,S2,S3,4
6229,S1,S4,1
6229,S3,S4,1
6230,S2,S3,3
6233,S1,S2,4
6233,S2,S3,2
6233,S3,S2,2
6235,S2,S3,1
6237,S2,S3,4
6238,S3,S2,2
6242,S1,S2,2
6243,S2,S4,2
6243,S3,S2,1
6247,S3,S4,2
6249,S2,S3,3
6251,S3,S2,4
6258,S1,S2,3
6258,S2,S3,1
6267,S2,S4,1
6267,S3,S4,1
6271,S2,S3,2
6276,S2,S4,3
6276,S3,S4,3
6282,S2,S4,3
6282,S3,S4,2
6286,S3,S4,4
6300,S2,S4,2
6300,S3,S2,1
6301,S1,S4,4
6301,S3,S2,2
6311,S2,S3,4
6319,S1,S4,4
6319,S2,S3,3
6322,S3,S4,4
6323,S2,S3,3
6327,S1,S2,3
6332,S2,S4,3
6332,S3,S4,1
6333,S3,S2,2
6339,S2,S3,4
6339,S3,S2,1
6344,S1,S2,4
6349,S1,S2,2
6355,S1,S3,3
6355,S3,S2,3
6358,S2,S4,3
6358,S3,S4,2
6361,S3,S2,3
6362,S2,S3,3
6371,S2,S3,2
6371,S3,S2,3
6375,S3,S2,2
6377,S2,S3,2
6381,S1,S4,2
6381,S3,S4,2
6389,S3,S2,1
6390,S3,S2,4
6396,S1,S2,1
6398,S2,S3,3
6400,S3,S4,3
6401,S1,S4,2
6404,S1,S2,3
6405,S3,S4,1
6408,S3,S2,2
6409,S1,S2,1
6416,S1,S2,1
6419,S1,S2,2
6423,S3,S4,2
6424,S1,S4,3
6424,S2,S3,1
6425,S3,S4,2
6429,S3,S2,2
6436,S3,S2,3
6441,S3,S2,3
6444,S2,S3,2
6444,S3,S4,3
6450,S1,S2,1
6451,S1,S2,3
6451,S3,S2,2
6457,S3,S2,4
6465,S3,S4,2
6468,S1,S2,4
6469,S3,S2,2
6488,S2,S3,1
6489,S1,S2,3
6491,S3,S2,2
6496,S3,S2,1
6497,S3,S4,1
6502,S3,S4,4
6503,S2,S3,1
6507,S1,S3,3
6507,S3,S4,2
6509,S3,S4,1
6513,S1,S4,2
6513,S2,S3,2
6514,S3,S2,3
6517,S2,S4,4
6517,S3,S4,1
6521,S3,S4,4
6531,S1,S2,1
6531,S2,S3,2
6533,S2,S4,3
6533,S3,S2,2
6536,S3,S2,4
6537,S2,S3,3
6538,S1,S2,4
6541,S3,S2,2
6543,S3,S2,1
6544,S1,S2,4
6546,S3,S2,3
6548,S1,S4,3
6548,S2,S3,4
6552,S2,S3,1
6555,S1,S2,2
6560,S2,S3,3
6560,S3,S4,2
6563,S3,S2,3
6565,S2,S3,2
6567,S1,S4,4
6569,S3,S2,3
6571,S1,S3,2
6575,S3,S2,2
6579,S2,S3,2
6585,S3,S4,3
6590,S2,S3,4
6592,S3,S2,2
6594,S3,S4,2
6596,S2,S3,1
6597,S3,S4,2
6608,S3,S2,4
6609,S2,S3,2
6613,S3,S2,4
6618,S1,S2,3
6621,S1,S4,1
6621,S3,S4,1
6625,S1,S2,1
6627,S2,S3,4
6631,S3,S4,1
6633,S1,S4,1
6633,S2,S4,4
6633,S3,S4,3
6638,S2,S3,2
6640,S3,S2,2
6643,S3,S2,1
6649,S2,S3,2
6650,S3,S4,2
6653,S2,S3,2
6661,S2,S3,4
6676,S3,S4,2
6677,S1,S2,2
6682,S1,S4,3
6682,S3,S4,1
6683,S2,S3,1
6690,S2,S3,3
6690,S3,S4,4
6694,S1,S2,2
6697,S2,S3,4
6697,S3,S4,1
6702,S1,S4,1
6702,S2,S3,3
6708,S3,S4,3
6715,S2,S3,3
6718,S3,S2,2
6726,S2,S4,4
6726,S3,S2,2
6728,S3,S2,3
6736,S3,S2,3
6743,S1,S2,3
6746,S3,S4,4
6750,S3,S4,1
6759,S3,S4,1
6761,S3,S2,1
6765,S3,S2,2
6782,S3,S4,2
6783,S2,S3,3
6785,S1,S2,4
6790,S3,S2,1
6792,S1,S3,1
6792,S3,S4,4
6794,S2,S3,4
6801,S3,S4,3
6802,S2,S3,1
6808,S1,S4,4
6808,S3,S4,2
6809,S2,S3,2
6814,S3,S2,3
6817,S1,S2,2
6819,S3,S2,2
6824,S2,S3,2
6827,S3,S4,2
6841,S3,S4,2
6849,S1,S3,1
6849,S3,S4,1
6850,S3,S2,1
6863,S3,S2,1
6868,S1,S2,1
6873,S2,S3,4
6878,S1,S2,3
6880,S3,S2,4
6882,S2,S3,2
6885,S3,S4,1
6890,S3,S2,2
6892,S2,S3,1
6893,S1,S3,4
6893,S2,S3,3
6897,S1,S2,4
6898,S3,S2,3
6903,S2,S3,1
6906,S2,S3,2
6916,S2,S3,2
6921,S3,S2,3
6923,S2,S3,3
6927,S3,S4,3
6930,S3,S4,1
6933,S1,S2,1
6939,S3,S4,1
6941,S3,S2,4
6942,S2,S3,1
6951,S2,S3,3
6951,S3,S4,2
6955,S3,S4,2
6956,S2,S3,1
6961,S1,S2,4
6968,S1,S2,4
6976,S2,S4,3
6976,S3,S2,2
6980,S2,S3,2
6980,S3,S2,2
6984,S1,S2,4
6987,S3,S2,4
6990,S2,S3,2
6999,S3,S2,2
7003,S2,S3,2
7012,S2,S3,4
7015,S3,S2,4
7034,S2,S3,1
7036,S2,S4,4
7036,S3,S2,3
7039,S3,S2,1
7040,S1,S2,1
7045,S1,S3,1
7045,S3,S4,2
7051,S2,S3,1
7055,S2,S3,1
7058,S3,S2,3
7059,S2,S3,2
7063,S2,S3,3
7070,S3,S4,4
7076,S3,S2,2
7082,S1,S2,1
7086,S3,S2,2
7089,S3,S4,2
7095,S3,S4,3
7105,S2,S3,3
7106,S1,S2,3
7107,S3,S4,4
7111,S1,S2,3
7111,S3,S4,2
7116,S2,S3,2
7116,S3,S4,1
7120,S1,S3,2
7120,S3,S4,3
7124,S2,S3,4
7124,S3,S4,3
7128,S2,S3,4
7131,S3,S4,4
7138,S3,S4,2
7141,S3,S2,1
7142,S2,S3,3
7143,S3,S4,3
7148,S2,S4,1
7148,S3,S2,2
7153,S2,S3,3
7156,S2,S3,1
7160,S3,S2,1
7161,S3,S4,3
7165,S3,S4,3
7168,S1,S2,3
7171,S2,S4,3
7171,S3,S4,1
7173,S3,S4,3
7180,S2,S3,4
7180,S3,S4,1
7184,S3,S4,4
7186,S1,S2,2
7190,S2,S4,1
7190,S3,S2,3
7196,S2,S3,4
7197,S1,S2,3
7203,S2,S3,3
7203,S3,S2,3
7209,S2,S3,3
7213,S1,S2,2
7217,S3,S2,3
7221,S2,S3,2
7225,S3,S4,1
7237,S3,S2,1
7238,S2,S3,1
7238,S3,S4,4
7244,S2,S3,4
7251,S2,S3,1
7251,S3,S4,1
7257,S2,S3,3
7264,S3,S2,2
7271,S3,S2,2
7275,S1,S2,4
7278,S2,S3,1
7278,S3,S4,1
7288,S2,S3,2
7288,S3,S4,3
7293,S3,S2,4
7294,S2,S3,4
7297,S3,S4,1
7299,S1,S2,2
7302,S2,S3,1
7303,S3,S4,2
7310,S2,S4,2
7310,S3,S4,1
7312,S3,S2,3
7322,S2,S3,3
7322,S3,S2,2
7325,S3,S2,3
7334,S2,S3,1
7336,S3,S4,4
7346,S3,S4,1
7347,S3,S2,3
7350,S1,S2,1
7352,S3,S2,3
7358,S3,S2,3
7359,S1,S2,4
7362,S2,S3,1
7365,S1,S2,3
7369,S1,S3,1
7369,S2,S3,4
7378,S3,S4,3
7383,S3,S4,1
7385,S1,S2,1
7388,S1,S2,1
7389,S1,S2,2
7391,S3,S2,1
7393,S3,S4,1
7394,S3,S2,2
7399,S3,S2,3
7402,S2,S3,2
7402,S3,S4,2
7410,S1,S2,2
7413,S2,S3,3
7432,S3,S2,4
7440,S1,S2,4
7447,S1,S2,1
7449,S1,S2,2
7450,S3,S2,1
7455,S3,S2,3
7456,S2,S3,1
7462,S3,S4,4
7468,S3,S2,4
7478,S1,S3,2
7478,S3,S2,2
7481,S3,S4,3
7487,S3,S2,4
7491,S1,S2,4
7500,S2,S3,3
7501,S1,S2,2
7502,S3,S4,1
7504,S2,S3,3
7505,S1,S2,3
7511,S3,S4,1
7512,S2,S3,4
7517,S3,S4,4
7518,S1,S3,1
7525,S1,S2,4
7525,S2,S3,2
7525,S3,S4,3
7529,S2,S3,4
7536,S2,S3,4
7538,S3,S4,3
7542,S1,S2,4
7545,S3,S4,3
7546,S1,S2,4
7547,S2,S3,1
7553,S2,S3,2
7563,S2,S3,3
7564,S3,S4,1
7566,S3,S2,3
7569,S3,S4,1
7570,S1,S2,4
7571,S2,S3,3
7573,S3,S4,2
7577,S1,S3,3
7577,S2,S3,3
7581,S2,S3,3
7581,S3,S4,1
7590,S1,S4,4
7590,S3,S4,3
7597,S3,S4,2
7599,S3,S2,4
7605,S3,S2,1
7611,S3,S2,2
7613,S3,S2,3
7617,S2,S3,4
7617,S3,S4,4
7623,S3,S2,3
7625,S1,S2,1
7626,S2,S3,3
7629,S3,S4,4
7630,S1,S2,1
7634,S3,S2,1
7636,S3,S4,1
7638,S2,S3,1
7639,S3,S2,1
7640,S3,S4,3
7642,S2,S3,2
7647,S3,S4,2
7648,S1,S2,1
7654,S1,S4,4
7655,S2,S3,4
7660,S2,S3,4
7665,S1,S2,2
7665,S3,S4,2
7676,S3,S2,2
7678,S2,S3,4
7679,S1,S2,2
7682,S1,S2,2
7682,S3,S2,3
7691,S2,S4,3
7691,S3,S2,4
7702,S3,S2,2
7704,S1,S2,4
7712,S3,S2,4
7721,S1,S2,3
7722,S3,S4,1
7724,S1,S4,3
7730,S1,S2,3
7734,S1,S4,4
7734,S3,S2,3
7743,S2,S3,1
7743,S3,S2,4
7744,S2,S3,1
7754,S3,S4,1
7755,S3,S4,2
7763,S1,S2,3
7763,S3,S4,3
7773,S2,S3,4
7774,S1,S2,1
7776,S3,S2,2
7782,S1,S4,1
7782,S3,S2,1
7783,S3,S4,1
7788,S1,S2,2
7794,S3,S4,3
7797,S3,S2,2
7800,S3,S2,3
7803,S1,S3,2
7803,S2,S3,1
7807,S3,S4,1
7808,S1,S3,4
7812,S2,S3,1
7816,S1,S2,1
7817,S3,S4,3
7824,S2,S3,4
7825,S1,S2,4
7828,S2,S3,2
7831,S1,S4,1
7831,S2,S3,2
7832,S3,S4,1
7842,S1,S2,2
7842,S2,S3,2
7844,S3,S2,2
7847,S1,S2,2
7847,S3,S2,4
7853,S3,S2,2
7861,S3,S2,1
7862,S2,S3,1
7864,S3,S2,2
7867,S1,S2,2
7873,S1,S2,3
7879,S3,S4,4
7882,S2,S3,4
7888,S3,S4,4
7889,S2,S3,4
7894,S1,S4,4
7894,S3,S2,3
7898,S3,S4,4
7905,S3,S2,3
7910,S1,S2,1
7910,S2,S3,2
7912,S2,S3,1
7916,S2,S3,4
7919,S3,S4,1
7920,S3,S2,2
7922,S1,S3,3
7922,S3,S4,4
7932,S1,S2,3
7932,S2,S3,3
7935,S2,S3,4
7939,S3,S2,4
7942,S2,S3,1
7945,S1,S2,1
7946,S1,S3,4
7946,S3,S4,1
7951,S3,S2,2
7954,S3,S4,4
7958,S3,S4,2
7963,S3,S2,2
7966,S1,S2,3
7975,S3,S4,1
7978,S3,S4,2
7979,S2,S3,4
7980,S3,S4,4
7995,S3,S2,4
