tick,source,destination,length
1045,S3,S2,4
1053,S2,S4,3
1053,S3,S4,3
1056,S1,S2,4
1058,S3,S2,2
1060,S3,S4,3
1064,S3,S2,2
1066,S3,S2,1
1067,S3,S4,1
1069,S3,S4,1
1071,S1,S2,3
1072,S2,S3,1
1075,S1,S2,2
1075,S2,S3,2
1077,S3,S2,2
1080,S2,S3,2
1081,S1,S2,4
1083,S2,S3,1
1084,S3,S2,3
1085,S1,S3,3
1088,S1,S2,2
1088,S3,S4,1
1090,S3,S2,4
1092,S1,S2,2
1095,S3,S2,2
1101,S3,S2,2
1104,S2,S3,1
1105,S2,S3,2
1112,S1,S2,4
1118,S2,S3,2
1119,S3,S4,1
1130,S2,S3,3
1133,S3,S4,3
1138,S2,S3,2
1139,S1,S2,4
1140,S2,S3,4
1148,S1,S3,3
1152,S3,S4,3
1155,S2,S4,3
1155,S3,S4,4
1162,S1,S3,3
1162,S3,S2,1
1165,S2,S3,2
1166,S3,S4,1
1167,S3,S4,1
1170,S3,S4,4
1171,S2,S3,4
1176,S2,S3,2
1178,S2,S3,2
1183,S3,S4,2
1184,S2,S3,4
1185,S1,S4,4
1185,S3,S2,4
1194,S1,S2,1
1198,S2,S3,3
1201,S1,S2,1
1206,S3,S2,2
1210,S2,S3,4
1212,S1,S2,2
1212,S3,S4,3
1221,S1,S2,1
1222,S3,S4,1
1228,S2,S4,3
1228,S3,S2,4
1232,S1,S2,4
1234,S3,S4,4
1240,S3,S2,2
1247,S1,S2,2
1248,S3,S2,1
1249,S1,S2,1
1250,S1,S2,3
1254,S1,S2,4
1262,S1,S4,2
1262,S2,S3,1
1263,S3,S4,1
1264,S3,S2,1
1269,S2,S3,3
1270,S1,S3,3
1270,S3,S4,3
1273,S2,S3,1
1274,S3,S2,3
1277,S1,S2,1
1281,S2,S3,3
1281,S3,S4,2
1287,S1,S2,2
1289,S3,S2,3
1291,S1,S3,4
1291,S2,S3,4
1299,S3,S4,3
1303,S2,S3,3
1304,S1,S2,4
1310,S3,S2,1
1315,S3,S4,4
1321,S3,S2,3
1327,S2,S4,1
1327,S3,S4,4
1333,S2,S3,4
1336,S3,S4,2
1337,S2,S3,2
1338,S3,S4,2
1340,S2,S3,3
1341,S3,S4,2
1342,S1,S2,4
1344,S3,S4,3
1345,S2,S3,1
1353,S2,S3,2
1359,S3,S4,4
1369,S1,S2,2
1375,S3,S2,2
1390,S3,S4,1
1406,S3,S2,3
1407,S1,S4,4
1407,S2,S3,2
1411,S1,S2,1
1411,S3,S4,1
1422,S1,S2,3
1427,S3,S4,2
1433,S3,S2,4
1436,S1,S2,2
1437,S2,S3,2
1442,S1,S2,2
1444,S2,S3,2
1444,S3,S2,4
1449,S2,S3,4
1451,S1,S2,3
1457,S3,S4,2
1460,S3,S4,4
1462,S2,S3,2
1465,S2,S3,4
1466,S1,S3,3
1466,S3,S4,1
1473,S2,S3,3
1477,S1,S2,4
1487,S3,S4,2
1489,S1,S2,4
1490,S2,S3,1
1495,S3,S4,4
1499,S3,S4,2
1505,S3,S2,2
1508,S3,S4,4
1519,S3,S2,3
1520,S2,S3,2
1522,S1,S3,1
1528,S3,S4,1
1536,S3,S2,1
1537,S1,S4,2
1543,S3,S2,2
1544,S1,S2,4
1553,S2,S3,3
1555,S3,S4,1
1556,S1,S3,4
1561,S2,S3,2
1569,S3,S2,3
1585,S3,S4,2
1588,S3,S4,3
1589,S2,S3,1
1592,S2,S4,1
1592,S3,S4,2
1593,S2,S3,3
1594,S1,S3,4
1594,S3,S4,4
1597,S2,S3,2
1603,S3,S4,1
1604,S1,S2,1
1605,S2,S3,1
1609,S3,S4,3
1617,S2,S3,3
1622,S3,S2,4
1629,S1,S2,3
1632,S2,S3,1
1635,S3,S2,3
1637,S2,S3,1
1638,S3,S4,1
1639,S2,S3,1
1639,S3,S4,2
1647,S2,S3,1
1648,S1,S3,2
1648,S3,S2,1
1649,S3,S2,1
1650,S3,S4,4
1654,S1,S3,3
1656,S3,S4,4
1657,S2,S3,1
1661,S1,S4,2
1661,S3,S2,4
1674,S3,S2,3
1677,S1,S2,4
1677,S3,S2,4
1679,S2,S3,1
1680,S2,S3,2
1683,S1,S3,4
1683,S2,S3,3
1685,S3,S2,3
1688,S3,S4,2
1689,S2,S3,1
1690,S2,S4,4
1690,S3,S4,1
1696,S2,S3,4
1699,S3,S2,1
1704,S2,S3,3
1707,S2,S3,4
1712,S3,S4,4
1716,S1,S4,2
1716,S3,S2,3
1721,S1,S2,2
1730,S2,S3,4
1731,S3,S4,1
1732,S3,S2,2
1742,S3,S4,4
1743,S1,S3,3
1746,S1,S2,1
1748,S3,S2,4
1753,S2,S3,4
1754,S1,S2,4
1754,S3,S2,1
1756,S3,S4,2
1757,S2,S3,1
1763,S3,S4,4
1772,S2,S3,1
1781,S2,S3,4
