tick,source,destination,length
3273,S1,S2,2
3278,S1,S2,2
3284,S1,S2,1
3291,S1,S2,3
3303,S1,S2,3
3304,S3,S2,3
3318,S3,S2,1
3322,S3,S2,2
3325,S3,S2,2
3327,S3,S2,2
3347,S1,S2,1
3359,S1,S2,1
3371,S3,S2,3
3377,S1,S2,1
3394,S1,S2,3
3394,S3,S2,3
3400,S3,S2,1
3405,S1,S2,1
3420,S3,S2,1
3437,S3,S2,1
3461,S3,S2,3
3463,S1,S2,3
3468,S1,S2,2
3470,S1,S2,1
3470,S3,S2,1
3471,S1,S2,1
3487,S1,S2,2
3496,S1,S2,2
3516,S3,S2,2
3525,S1,S2,2
3525,S3,S2,1
3542,S1,S2,1
3545,S1,S2,2
3564,S3,S2,3
3572,S3,S2,2
3582,S3,S2,3
3589,S3,S2,1
3594,S1,S2,2
3602,S3,S2,2
3605,S3,S2,1
3609,S1,S2,3
3626,S3,S2,2
3649,S3,S2,2
3673,S1,S2,3
3676,S1,S2,2
3697,S3,S2,1
3704,S3,S2,1
3710,S3,S2,3
3712,S1,S2,1
3718,S3,S2,3
3742,S3,S2,2
3746,S3,S2,3
3752,S1,S2,2
3757,S3,S2,2
3773,S1,S2,2
3796,S3,S2,3
3803,S3,S2,2
3805,S3,S2,3
3809,S1,S2,1
3809,S3,S2,2
3839,S3,S2,3
3849,S3,S2,1
3857,S1,S2,2
3860,S3,S2,1
3864,S3,S2,3
3908,S3,S2,1
3909,S1,S2,2
3912,S3,S2,2
3955,S1,S2,1
3962,S1,S2,1
3964,S3,S2,2
3976,S1,S2,3
3985,S1,S2,3
4005,S3,S2,1
4014,S3,S2,1
4026,S3,S2,1
4029,S3,S2,1
4032,S3,S2,3
4040,S1,S2,1
4059,S1,S2,1
4079,S1,S2,1
4085,S1,S2,3
4094,S3,S2,2
4102,S1,S2,2
4150,S1,S2,1
4156,S3,S2,1
4160,S3,S2,1
4162,S1,S2,3
4178,S1,S2,3
4214,S3,S2,1
4217,S3,S2,1
4227,S3,S2,1
4229,S3,S2,3
4234,S1,S2,1
4250,S3,S2,1
4294,S1,S2,3
4315,S1,S2,2
4324,S3,S2,2
4327,S3,S2,3
4341,S1,S2,1
4345,S1,S2,3
4350,S3,S2,2
4373,S3,S2,1
4375,S1,S2,1
4378,S3,S2,3
4380,S1,S2,1
4400,S1,S2,3
4409,S1,S2,3
4412,S3,S2,1
4430,S3,S2,1
4432,S3,S2,1
4436,S1,S2,2
4438,S1,S2,3
4439,S3,S2,2
4448,S3,S2,2
4449,S1,S2,1
4460,S1,S2,3
4461,S3,S2,1
4466,S3,S2,1
4482,S1,S2,3
4534,S1,S2,3
4552,S3,S2,2
4561,S1,S2,3
4568,S3,S2,3
4585,S3,S2,3
4593,S3,S2,2
4614,S1,S2,2
4676,S3,S2,1
4680,S3,S2,3
4683,S1,S2,3
4689,S3,S2,3
4701,S1,S2,2
4712,S1,S2,1
4715,S3,S2,1
4739,S3,S2,3
4750,S3,S2,2
4752,S3,S2,2
4755,S3,S2,1
4763,S1,S2,2
4791,S3,S2,1
4792,S1,S2,1
4799,S1,S2,3
4808,S1,S2,1
4808,S3,S2,3
4835,S3,S2,1
4843,S1,S2,1
4863,S1,S2,2
4874,S1,S2,2
4890,S1,S2,1
4890,S3,S2,3
4961,S3,S2,2
4969,S3,S2,3
4970,S1,S2,1
4972,S3,S2,2
4973,S1,S2,3
4978,S1,S2,3
4993,S1,S2,3
4997,S1,S2,2
5009,S1,S2,1
5049,S3,S2,2
5055,S1,S2,1
5061,S1,S2,2
5071,S1,S2,2
5075,S1,S2,1
5080,S3,S2,2
5117,S1,S2,1
5138,S3,S2,1
5160,S1,S2,1
5169,S1,S2,2
5171,S1,S2,1
5172,S1,S2,1
5178,S3,S2,1
5192,S3,S2,2
5195,S3,S2,2
5197,S1,S2,3
5213,S1,S2,3
5217,S3,S2,1
5225,S3,S2,3
5233,S3,S2,2
5235,S3,S2,3
5244,S1,S2,1
5255,S1,S2,3
5327,S3,S2,1
5333,S3,S2,1
5342,S1,S2,1
5344,S3,S2,2
5374,S3,S2,1
5375,S1,S2,1
5382,S3,S2,2
5408,S3,S2,2
5409,S1,S2,3
5414,S1,S2,1
5417,S1,S2,1
5418,S3,S2,2
5469,S1,S2,1
5474,S1,S2,2
5480,S3,S2,2
5482,S3,S2,3
5486,S1,S2,2
5500,S1,S2,3
5514,S1,S2,3
5538,S3,S2,3
5539,S1,S2,1
5545,S1,S2,1
5555,S1,S2,3
5561,S1,S2,3
5569,S1,S2,2
5573,S1,S2,1
5573,S3,S2,3
5586,S1,S2,3
5592,S1,S2,1
5597,S3,S2,1
5598,S1,S2,3
5607,S3,S2,1
5608,S3,S2,2
5616,S3,S2,1
5617,S1,S2,2
5626,S1,S2,1
5635,S3,S2,1
5636,S1,S2,3
5638,S3,S2,1
5647,S3,S2,3
5661,S3,S2,2
5709,S1,S2,1
5717,S3,S2,3
5720,S1,S2,1
5736,S3,S2,3
5745,S1,S2,2
5759,S1,S2,2
5764,S1,S2,2
5768,S3,S2,3
5779,S1,S2,3
5815,S1,S2,1
5820,S1,S2,3
5822,S3,S2,3
5831,S3,S2,1
5842,S1,S2,3
5850,S3,S2,1
5851,S3,S2,1
5866,S1,S2,3
5866,S3,S2,3
5883,S1,S2,2
5888,S1,S2,2
5888,S3,S2,3
5902,S1,S2,2
5927,S1,S2,2
5928,S3,S2,2
5936,S3,S2,3
5947,S1,S2,2
5951,S1,S2,1
5953,S1,S2,3
5968,S1,S2,3
5987,S1,S2,1
number,of,messages,551
